Unnamed: 0,Name,Alternative Names,Country,Region/Province,City/Town,Latitude,Longitude,Construction Date,Builder/Architect,Current Status,Notes/Description,Verification Source
385,Forte do Presépio,,Brazil,Pará,Belém,-1.45,-48.5,1616,Portuguese,Museum,Amazon lesser star.,Brazilian
386,Forte Príncipe da Beira,,Brazil,Rondônia,Costa Marques,-12.4167,-64.4167,1776,Portuguese,Ruins,Remote lesser star.,Brazilian
387,Fortaleza de Nossa Senhora da Assunção,,Brazil,Ceará,Fortaleza,-3.7167,-38.5,1649,Dutch/Portuguese,Museum,Two lesser bastions.,Brazilian
388,Forte de Nossa Senhora dos Remédios,,Brazil,Pernambuco,Fernando de Noronha,-3.8333,-32.4167,1737,Portuguese,Ruins,Island lesser bastion.,Brazilian
389,Forte de Santo Inácio de Tamandaré,,Brazil,Pernambuco,Tamandaré,-8.75,-35.1,1690,Portuguese,Ruins,Coastal lesser star.,Brazilian
390,Forte do Barbalho,,Brazil,Bahia,Salvador,-12.9667,-38.5167,1600,Portuguese,Museum,Salvador lesser defense.,Brazilian
391,Forte de São Lourenço,,Brazil,Bahia,Itaparica,-12.8833,-38.6833,1710,Portuguese,Ruins,Island lesser fort.,Brazilian
392,Fortaleza de Santa Cruz da Barra,,Brazil,Rio de Janeiro,Niterói,-22.8833,-43.1167,1578,Portuguese,Museum,Guanabara lesser.,Brazilian
393,Fortaleza de Santo Antônio de Ratones,,Brazil,Santa Catarina,Florianópolis,-27.5833,-48.5667,1740,Portuguese,Ruins,Island lesser star.,Brazilian
394,Festung Wesel,Wesel Citadel,Germany,North Rhine-Westphalia,Wesel,51.6667,6.6167,16851702,Dutch/Prussian,Ruins/Museum,Rhine river star; lesser-known Prussian ring,German regional forts
395,Festung Minden,Minden Fortress,Germany,North Rhine-Westphalia,Minden,52.2833,8.9167,15291860s,Various (Prussian),Ruins/Park,Weser river bastions; partial outline remains,Regional lists
396,Festung Saarlouis,Saarlouis Fortress,Germany,Saarland,Saarlouis,49.3167,6.75,16801683,Vauban (French),Ruins/Park,Octagonal star town remnants,UNESCO Vauban extensions
397,Zitadelle Jülich,Jülich Citadel,Germany,North Rhine-Westphalia,Jülich,50.9167,6.3667,15471559,Renaissance Italian,Museum,Early Renaissance star; museum focus,German heritage
398,Festung Luxembourg (Pfaffenthal),Pfaffenthal section,Luxembourg,Luxembourg,Luxembourg City,49.6167,6.1333,17th19th C,Various,Ruins/Museum,Lesser-known valley bastions,Luxembourg fort lists
399,Twierdza Zamo??,Zamo?? Fortress,Poland,Lublin,Zamo??,50.7167,23.25,15781648,Jan Zamoyski / Italian,UNESCO/Museum,Renaissance ideal star town (lesser bastions),Polish UNESCO
400,Twierdza Kamieniec Podolski,Kamieniec Fortress,Ukraine,Khmelnytskyi,Kamianets-Podilskyi,48.6833,26.5667,11th18th C,Polish / Ottoman,Museum,River canyon star; multi-era bastions,Ukrainian heritage
401,Twierdza Chocim,Khotyn Fortress,Ukraine,Chernivtsi,Khotyn,48.5167,26.4833,9th18th C,Genoese / Polish / Ottoman,Museum,Dniester river massive star,Ukrainian lists
402,Twierdza Ostroh,Ostroh Castle-Fort,Ukraine,Rivne,Ostroh,50.3333,26.5167,14th17th C,Polish-Lithuanian,Ruins/Museum,Lesser-known bastion additions,Regional Ukrainian
403,Twierdza Dubno,Dubno Fortress,Ukraine,Rivne,Dubno,50.4,25.75,15th18th C,Polish,Ruins,Ikva river star remnants,Ukrainian
404,Fort Tiracol,Tiracol Fort,India,Goa,Tiracol,15.9333,73.6667,16th C,Sawantwadi / Portuguese,Ruins,Coastal hilltop lesser star,Indian regional
405,Fort Chapora,Chapora Fort,India,Goa,Vagator,15.6,73.7333,1612 / 1717,Adil Shah / Portuguese,Ruins,Headland bastions; scenic remnants,Indian heritage
406,Fort Sinquerim,Candolim Fort,India,Goa,Candolim,15.5,73.7667,1612,Portuguese,Ruins,Aguada extension lesser bastion,Goa lists
407,Fort Gaspar Dias,Gaspar Dias,India,Goa,Panaji,15.5,73.8333,16th C,Portuguese,Ruins,Mandovi river lesser defense,Goa regional
408,Fort Mormugao,Mormugao Fort,India,Goa,Vasco da Gama,15.4,73.8,1624,Portuguese,Ruins,Harbor lesser bastions,Indian
409,Fort Anjediva,Anjadiv Island Fort,India,Karnataka,Karwar,14.7667,74.1167,1505 / 1760,Portuguese / Maratha,Ruins,Island star remnants,Karnataka lists
410,Fort Sadashivgad,Sadashivgad,India,Karnataka,Karwar,14.8167,74.1333,16th C,Maratha,Ruins,Kali river hill bastion,Karnataka
411,Fort Devagad,Devagad Fort,India,Maharashtra,Ratnagiri,16.9833,73.3167,16th C,Maratha,Ruins,Coastal lesser star,Maharashtra
412,Fort Ratnagiri,Bhagwati Fort,India,Maharashtra,Ratnagiri,16.9833,73.3,16th C,Maratha,Ruins,Hilltop bastions,Maharashtra
413,Fort Viziadurg,Vijaydurg,India,Maharashtra,Viziadurg,16.5667,73.5667,12th C / 16th C,Maratha / Siddi,Ruins,Arabian Sea star,Maharashtra
414,Fort São Filipe de Benguela,Benguela Fort,Angola,Benguela,Benguela,-12.5833,13.4,1617,Portuguese,Museum,Coastal lesser bastion,Angolan heritage
415,Fort São Francisco do Penedo,,Angola,Namibe,Namibe,-15.2,12.15,1645,Portuguese,Ruins,Desert coastal star,Angolan
416,Fort Quicombo,,Angola,Benguela,Quicombo,-12.3667,13.7833,17th C,Portuguese,Ruins,Small lesser bastion,Angolan
417,Fort São José de Encoje,,Angola,Zaire,Encoje,-6.2667,14.25,18th C,Portuguese,Ruins,Northern inland lesser,Angolan
418,Fort Santo António de Zaire,,Angola,Zaire,Soyo,-6.1167,12.3667,17th C,Portuguese,Ruins,Congo river mouth,Angolan
419,Fortaleza de São José de Mossâmedes,Mossâmedes Fort,Angola,Namibe,Namibe,-15.2,12.15,1840s,Portuguese,Ruins,Desert outpost lesser star,Angolan
420,Fortaleza de São Miguel de Ambriz,Ambriz Fort,Angola,Bengo,Ambriz,-7.85,13.1167,19th C,Portuguese,Ruins,Coastal lesser bastion,Angolan
421,Fort São João Baptista de Ajudá,Fort of Ouidah,Benin,Ouidah,Ouidah,6.3667,-2.0833,1721,Portuguese,Museum,Slave trade lesser fort,Benin heritage
422,Fort William,Fort William,Canada,Newfoundland,St. John's,47.5667,-52.7,1698,British,Ruins,Signal Hill lesser bastions,Canadian
423,Fort Amherst,,Canada,Newfoundland,St. John's,47.5667,-52.6833,1777,British,Ruins,Harbor entrance lesser,Canadian
